fiscYear,request,actual
1959,27.4,437.3
1960,0.0,657.4
1961,573.4,1159.8
1962,1273.0,1982.2
1963,3238.4,2637.5
1964,3654.4,2981.2
1965,3290.9,2931.0
1966,3043.8,2896.8
1967,2570.0,2149.6
1968,2199.0,1466.5
1969,1060.4,896.2
1970,1374.6,1343.7
1971,1285.0,1341.4
1972,2505.6,2367.9
1973,2581.5,2716.5
1974,2479.0,2964.9
1975,1669.2,1659.2
1976,1615.6,1571.8
1977,1060.3,1087.6
1978,729.8,683.0
1979,769.9,750.6
1980,818.5,817.4
1981,606.3,592.8
1982,674.3,642.1
1983,455.0,530.9
1984,573.5,607.0
1985,774.9,785.7
1986,941.3,927.1
1987,942.9,925.0
1988,771.2,783.9
1989,1055.2,991.3
1990,1043.5,1030.5
1991,1343.4,1248.8
1992,1555.3,1189.8
1993,955.2,920.9
1994,1192.7,1439.6
1995,1584.8,1520.6
1996,1468.5,1479.2
1997,1209.6,1258.8
1998,0.0,1205.4
1999,0.0,1312.4
2000,0.0,1461.5
2001,0.0,1800.4
2002,0.0,1529.9
2003,2166.3,2264.9
2004,2742.9,2715.3
2005,2687.4,2374.3
2006,2543.0,2278.9
2007,2073.8,1827.4
2008,1736.4,1633.0
2009,1627.7,1571.5
2010,1620.8,1642.7
2011,1760.6,1719.2
2012,1805.7,1759.6
2013,1377.1,1406.2
2014,1379.4,1524.7
2015,1421.0,1605.8
2016,1490.5,1782.7
2017,1632.7,1964.6
2018,2026.0,2328.8
2019,2292.8,2818.1
2020,2712.1,2713.4
2021,2659.6,
2022,2800.9,
2023,2714.9,
2024,2904.8,
2025,2830.7,
